,name,category,sim
151,족발예찬 하남미사점,고기,tensor([[0.2431]])
152,한마음정육식당 하남미사1호점,고기,0.0
153,댕크야드(Dank yard),식당,tensor([[0.1887]])
154,권동식당,한식당,tensor([[0.2893]])
155,우시야 미사점,고기,tensor([[0.2917]])
156,효자동설렁탕 하남점,한식당,tensor([[0.3216]])
157,발라티에,양식,tensor([[0.1343]])
158,쏘르제 루나(Sorge luna),카페,tensor([[0.3221]])
159,하남 삼육식당,한식당,tensor([[0.3131]])
160,카페 누이(cafe nue),카페,tensor([[0.3088]])
161,붓다텐 하남점,일식당,tensor([[0.3258]])
162,면대면우육면마라탕,중국집,tensor([[0.3215]])
163,금돈왕돈가스 육칼,한식당,tensor([[0.2933]])
164,고급양식 하남점,해물,tensor([[0.2114]])
165,장수한우곱창 옥천냉면,한식당,tensor([[0.3189]])
166,미스터 촌돼지,한식당,tensor([[0.3074]])
167,구이가 감일점,고기,tensor([[0.3616]])
168,하루엔소쿠 감일마크베르점,돈가스,tensor([[0.2008]])
169,해운대연탄생갈비 하남감일점,고기,tensor([[0.2943]])
170,빵먹는 코끼리,베이커리,tensor([[0.2940]])
171,츄릅(churrrp),간식,tensor([[0.3418]])
172,신사냉삼촌 하남미사점,고기,tensor([[0.2490]])
173,두끼 하남미사점,분식,tensor([[0.2129]])
174,일품양평해장국 하남아이테코점,해장국,tensor([[0.5151]])
175,투비 버거,햄버거,tensor([[0.2560]])
176,보리향칼국수,한식당,tensor([[0.3908]])
177,플로우나인 하남미사점,카페,tensor([[0.3252]])
178,남영동양문 하남미사점,고기,tensor([[0.3586]])
179,짜란다,중국집,tensor([[0.2557]])
180,디저트 카페(DESSERT CAFE) 널문,카페,tensor([[0.3004]])
181,덕찡찡마켓,고기,tensor([[0.2339]])
182,1984그수육집칼국수 하남미사,분식,tensor([[0.1686]])
183,카페다예,카페,tensor([[0.3164]])
184,프랭크버거 하남감일 단샘점,햄버거,tensor([[0.2961]])
185,일산등심박이,고기,tensor([[0.3454]])
186,가마솥 순대국 뼈도리탕,한식당,tensor([[0.4028]])
187,위니드밥 풍산점,한식당,tensor([[0.2858]])
188,포하이퐁 미사점,아시안 음식,tensor([[0.2366]])
189,계림원 미사중앙점,치킨,tensor([[0.3669]])
190,동근이 숯불두마리치킨 하남감일점,치킨,tensor([[0.3764]])
191,로드샌드위치 하남미사점,간식,tensor([[0.3142]])
192,청년어부 미사역점,일식집,tensor([[0.3230]])
193,배씨상회 하남미사점,식당,tensor([[0.2336]])
194,강남집 하남점,고기,tensor([[0.2834]])
195,생활맥주 하남감일점,호프,tensor([[0.2904]])
196,미생맥주 하남감일점,호프,tensor([[0.2492]])
197,다올 굴순두부,한식당,tensor([[0.3535]])
198,동해 강릉 초당짬뽕순두부 하남미사점,한식당,0.0
199,부빵(Beau pain),베이커리,tensor([[0.3592]])
200,봉평 메밀옥,한식당,tensor([[0.3244]])
201,뉴욕버거 하남(SKV1)점,햄버거,tensor([[0.3096]])
202,라운지 비 LOUNGE B,식당 아님,tensor([[0.0755]])
203,파이 앤 브레드(Pie & Bread),베이커리,tensor([[0.3797]])
204,카라핑 카페,카페,tensor([[0.3207]])
205,이가돈 매운갈비찜,카페,0.0
206,포시애틀 하남풍산점,아시안 음식,tensor([[0.3053]])
207,치킨봇,치킨,tensor([[0.3488]])
208,왔따쪽갈비(하남미사점),치킨,0.0
209,예술피자 하남점,피자,tensor([[0.3862]])
210,펫타리움 미사,피자,0.0
211,파더스 베이글 하남미사점,카페,tensor([[0.2816]])
212,마시쏘부대찌개 미사역직영점,한식당,tensor([[0.3736]])
213,짱꼬집(하남미사점),고기,tensor([[0.3385]])
214,나은치킨,치킨,tensor([[0.3814]])
215,오쥬리 사랑채,고기,tensor([[0.3204]])
216,동대문 엽기떡볶이 하남 미사강변점,분식,tensor([[0.2419]])
217,노모어피자 미사점,피자,tensor([[0.3087]])
218,미사원조곱창,고기,tensor([[0.3050]])
219,포코포코 하남미사점,분식,tensor([[0.2212]])
220,프랭크버거 하남신장점,햄버거,tensor([[0.2522]])
221,요트(YOTE),카페,tensor([[0.2082]])
222,루꽐라,카페,0.0
223,풍산화우,고기,tensor([[0.3202]])
224,오스테리아 렌조(OSTERIA RENZO),고기,0.0
225,바른곱창(감일점),고기,0.0
226,우리할매떡볶이 하남덕풍점,분식,tensor([[0.2501]])
227,모모타코야끼 위례점,일식당,tensor([[0.2921]])
228,차이황,중국집,tensor([[0.3255]])
229,오닭꼬치 하남미사점,일식당,tensor([[0.3128]])
230,쉐 울리엘(chez ulliel),양식,tensor([[0.1360]])
231,더 퍼(The per),식당 아님,tensor([[0.1306]])
232,우나기 현,해물,tensor([[0.1459]])
233,깡우동 하남미사점,식당,tensor([[0.2764]])
234,두레통닭 하남감일점,치킨,tensor([[0.3860]])
235,소요일 미사직영점,고기,tensor([[0.3078]])
236,망월전,식당,tensor([[0.2429]])
237,오늘은 라면125 애니벤,분식,tensor([[0.3069]])
238,카츠키,돈가스,tensor([[0.1415]])
239,피자스톰 미사점,피자,tensor([[0.4569]])
240,오롯한상,피자,0.0
241,흑삼족,고기,tensor([[0.3027]])
242,기영이 숯불두마리치킨 하남미사점,치킨,tensor([[0.3531]])
243,스노우플렉스(SNOW FLEX),치킨,0.0
244,패티바이번 위례점,햄버거,tensor([[0.3314]])
245,날쌘카페 하남미사점,카페,tensor([[0.2501]])
246,세화갈비 미사점,카페,0.0
247,슈슈브런치 하남감일점,카페,0.0
248,온담순대국 미사스카이폴리스점,카페,0.0
249,신세대맥주 미사,호프,tensor([[0.2638]])
250,조인 더 클럽,호프,0.0
251,와하카,호프,0.0
252,참토스트 하남미사점,간식,tensor([[0.2350]])
253,고집센 만두전골 두루치기,한식당,tensor([[0.3631]])
254,무국적식탁 하남점,한식당,tensor([[0.3543]])
255,고기싸롱 미사신도시점,한식당,0.0
256,투다리 풍산점,일식당,tensor([[0.2607]])
257,에헴 양식당,고기,tensor([[0.3034]])
258,밀회관 하남미사역점,호프,tensor([[0.3097]])
259,소반짓고,한식당,tensor([[0.3503]])
260,마라홀릭 마라탕 감일점,중국집,tensor([[0.3427]])
261,꽈배기와 동그리,베이커리,tensor([[0.3107]])
262,길동우동 하남감일점,일식당,tensor([[0.3240]])
263,서울떡갈비&우이락 신세계스타필드하남점,일식당,0.0
264,마라탕에 빠진날,중국집,tensor([[0.2616]])
265,사모님 토스트,간식,tensor([[0.3174]])
266,퇴촌중앙갈비 하남점,한식당,tensor([[0.2832]])
267,조개호,해물,tensor([[0.1657]])
268,자담치킨 미사중앙점,치킨,tensor([[0.3667]])
269,봉맥,호프,tensor([[0.3151]])
270,바티토,양식,tensor([[0.1280]])
271,소코아 하남감일점,식당,tensor([[0.2666]])
272,스트릿1988 하남감일점,카페,tensor([[0.2460]])
273,스파게티스토리 스카이폴리스점,카페,0.0
274,아라치 하남미사점,카페,0.0
275,호미스피자 미사점,카페,0.0
276,로우프레스(lowpress),카페,tensor([[0.3556]])
277,고래맥주창고(하남미사점),주류,tensor([[0.3070]])
