,name,position,total_distance,total_time
160,마시내 하남감일점,"경기 하남시 감일중앙로 80 푸르지오 마크베르 1층 상가 1011호, 1012호",9417,7360
161,멕시카나치킨 하남풍산점,경기 하남시 미사강변대로34번안길 16,3035,2456
162,하노이 맥주밤거리 하남미사역점,경기 하남시 미사강변중앙로 190 하남미사롯데캐슬스타 1층 123호,1735,1382
163,반미362 하남미사점,경기 하남시 미사강변동로 82 105호,1880,1458
164,소소떡볶이 하남미사점,경기 하남시 미사강변중앙로198번길 35 1층 104호,1436,1169
165,키치 플레이트,경기 하남시 미사강변중앙로 189 에코브리지2 102호 키치플레이트,1787,1448
166,족발예찬 하남미사점,경기 하남시 미사강변한강로158번길 41 1층,569,451
167,한마음정육식당 하남미사1호점,"경기 하남시 미사강변대로 62 1층 101호,102호,103호",2964,2376
168,댕크야드(Dank yard),경기 하남시 미사강변중앙로 173 3층 310-1호,1940,1557
169,권동식당,경기 하남시 미사강변중앙로 161 1층 111호,2048,1635
170,우시야 미사점,경기 하남시 미사강변중앙로 226 1층 131호,1343,1102
171,효자동설렁탕 하남점,경기 하남시 미사강변한강로342번길 20 1층 효자동설렁탕 하남점,1857,1531
172,발라티에,경기 하남시 위례학암로13번길 10 지1층,12693,9816
173,쏘르제 루나(Sorge luna),경기 하남시 미사강변동로 95 지하 1층 B1013호,1690,1360
174,하남 삼육식당,경기 하남시 미사대로 520 현대지식산업센터 한강미사2차 1층 DC01-019호,1967,1638
175,카페 누이(cafe nue),경기 하남시 미사강변대로226번길 48 A+구산프라자 1층 105호,1232,1094
176,붓다텐 하남점,경기 하남시 미사대로 550 현대지식산업센터 1차 1층 c-001호,2268,1853
177,면대면우육면마라탕,경기 하남시 미사강변서로 25 지1층 RB115호,3438,2742
178,금돈왕돈가스 육칼,경기 하남시 세미로1길 5 2층 202호,4129,3442
179,고급양식 하남점,경기 구리시 벌말로80번길 76,11539,9177
180,장수한우곱창 옥천냉면,"경기 하남시 덕풍동로 111-15 1층 108호, 109호",3209,2557
181,미스터 촌돼지,경기 하남시 미사강변한강로158번안길 38 101호,479,417
182,구이가 감일점,경기 하남시 감일중앙로 80 감일 푸르지오 마크베르 1층,9417,7360
183,하루엔소쿠 감일마크베르점,경기 하남시 감일중앙로 80 1층 1081호,9417,7360
184,해운대연탄생갈비 하남감일점,경기 하남시 감일백제로 181 1층 118~119호,9711,7598
185,착한초밥 별난횟집,경기 하남시 서하남로 38,9646,7495
186,조부장대게 감일딜리버리점,경기 하남시 감일백제로83번길 24 1층 112호,10408,8115
187,빵먹는 코끼리,경기 하남시 하남대로784번안길 16 1층,4578,3686
188,츄릅(churrrp),경기 하남시 미사강변남로 91 2층 218호,2028,1624
189,세친구곱창 하남미사점,경기 하남시 미사강변중앙로 223 1층 101호,1423,1189
190,신사냉삼촌 하남미사점,"경기 하남시 미사강변중앙로 210 1층 101, 102호",1517,1285
191,두끼 하남미사점,경기 하남시 미사강변대로226번안길 25 디럭스프라자1 2층 203,1357,1183
192,일품양평해장국 하남아이테코점,"경기 하남시 조정대로 150 1층 R111호, R112호",2921,2404
193,투비 버거,경기 하남시 미사강변동로84번길 20 1층 105호,1832,1454
194,보리향칼국수,"경기 하남시 미사강변동로 95 1140호(망월동, 힐스테이트 미사역 그랑파사쥬(12-1BL)",1690,1360
195,플로우나인 하남미사점,경기 하남시 미사대로 550 현대지식산업센터 1차 c-10층 0001호,2268,1853
196,남영동양문 하남미사점,"경기 하남시 미사강변중앙로 220 1층 103, 104호",1433,1167
197,짜란다,경기 하남시 위례학암로14번길 35 1층106호,12698,9877
198,디저트 카페(DESSERT CAFE) 널문,경기 하남시 감일백제로44번길 5 1층,11028,8617
199,덕찡찡마켓,경기 하남시 미사강변중앙로 181 더퍼스트테라스 1층(호수공원 view)빨간 태국어 간판,1869,1507
200,1984그수육집칼국수 하남미사,경기 하남시 미사강변북로30번길 145 1층,1481,1207
201,찜하남구이하남,경기 하남시 미사강변대로34번안길 11 2층 205호,2990,2423
202,카페다예,경기 하남시 미사강변한강로334번길 29 1층,1829,1510
203,프랭크버거 하남감일 단샘점,경기 하남시 감일백제로 109 1층 104호,10327,8027
204,일산등심박이,"경기 하남시 미사대로 472 1층 114, 115호",1505,1223
205,가마솥 순대국 뼈도리탕,경기 하남시 감일중앙로 80,9417,7360
206,위니드밥 풍산점,경기 하남시 하남대로 947 하남테크노밸리 U1센터 B동 지하1층 B145호,4059,3364
207,포하이퐁 미사점,경기 하남시 미사강변서로 16 1층 알101호,3427,2738
208,계림원 미사중앙점,"경기 하남시 미사강변중앙로 223 111호, 112호",1423,1189
209,동근이 숯불두마리치킨 하남감일점,경기 하남시 감일중앙로 80 마크베르 아클라우드 상가 2004호,9417,7360
210,로드샌드위치 하남미사점,경기 하남시 미사강변대로226번길 80 102호,1305,1145
211,청년어부 미사역점,경기 하남시 미사강변남로 125 마이움푸르지오 102동 115호,1856,1470
212,배씨상회 하남미사점,경기 하남시 미사강변중앙로 200 1층 120-2호,1573,1269
213,강남집 하남점,"경기 하남시 감일백제로 177 1층 115, 116호",9754,7629
214,생활맥주 하남감일점,경기 하남시 신우실로63번길 15 NF써밋스퀘어 B동 106호,9845,7661
215,미생맥주 하남감일점,경기 하남시 감일백제로 161 116호,9924,7779
216,다올 굴순두부,경기 하남시 신장로154번길 6 1층 다올 굴순두부,4593,3628
217,동해 강릉 초당짬뽕순두부 하남미사점,경기 하남시 미사대로 380 2층,675,510
218,부빵(Beau pain),경기 하남시 미사강변한강로334번길 10 1층 101호(망월동),1711,1402
219,봉평 메밀옥,경기 하남시 대청로 15 110호,4676,3809
